标的,盈亏(元),名称
000651.XSHE,-5.0,格力电器
300124.XSHE,-5.0,汇川技术
000333.XSHE,-5.0,美的集团
000568.XSHE,-5.0,泸州老窖
601288.XSHG,-5.0,农业银行
