指标,值,格式化值
策略收益,-0.92,-0.92%
策略年化收益,-12.05,-12.05%
基准收益,-0.09,-0.09%
基准年化收益,-1.2,-1.20%
累计超额收益,-0.83,-0.83%
策略波动率,0.43,0.43%
最大回撤,-0.89,-0.89%
最大回撤区间,2025-01-02 至 2025-01-24,2025-01-02 至 2025-01-24
最大回撤持续天数,17,17.00%
夏普比率,-37.163,-37.16
索提诺比率,-51.3004,-51.30
Calmar比率,-13.5559,-13.56
下行波动率,0.31,0.31%
日胜率,5.88,5.88%
日盈利天数,1,1
日亏损天数,16,16
交易胜率,11.76,11.76%
交易盈利次数,2,2
交易亏损次数,15,15
盈亏比,0.0361,0.04
交易天数,18,18
胜率,11.76,11.76%
收益回撤比,-13.5559,-13.56%
