时间,标的,数量,价格,金额,手续费,印花税,总费用,方向
2025-01-02 09:30:00,511880.XSHG,900,100.081,90072.90000000001,27.02,0.0,27.02,买入
2025-01-03 09:30:00,511880.XSHG,-900,100.076,90068.4,27.02,0.0,27.02,卖出
2025-01-03 09:30:00,511880.XSHG,900,100.076,90068.4,27.02,0.0,27.02,买入
2025-01-06 09:30:00,511880.XSHG,-900,100.08,90072.0,27.02,0.0,27.02,卖出
2025-01-06 09:30:00,511880.XSHG,900,100.08,90072.0,27.02,0.0,27.02,买入
2025-01-07 09:30:00,511880.XSHG,-900,100.083,90074.7,27.02,0.0,27.02,卖出
2025-01-07 09:30:00,511880.XSHG,900,100.083,90074.7,27.02,0.0,27.02,买入
2025-01-08 09:30:00,511880.XSHG,-900,100.088,90079.2,27.02,0.0,27.02,卖出
2025-01-08 09:30:00,511880.XSHG,900,100.088,90079.2,27.02,0.0,27.02,买入
2025-01-09 09:30:00,511880.XSHG,-900,100.119,90107.1,27.03,0.0,27.03,卖出
2025-01-09 09:30:00,511880.XSHG,900,100.119,90107.1,27.03,0.0,27.03,买入
2025-01-10 09:30:00,511880.XSHG,-900,100.111,90099.90000000001,27.03,0.0,27.03,卖出
2025-01-10 09:30:00,511880.XSHG,900,100.111,90099.90000000001,27.03,0.0,27.03,买入
2025-01-13 09:30:00,511880.XSHG,-900,100.12,90108.0,27.03,0.0,27.03,卖出
2025-01-13 09:30:00,511880.XSHG,900,100.12,90108.0,27.03,0.0,27.03,买入
2025-01-14 09:30:00,511880.XSHG,-900,100.105,90094.5,27.03,0.0,27.03,卖出
2025-01-14 09:30:00,511880.XSHG,900,100.105,90094.5,27.03,0.0,27.03,买入
2025-01-15 09:30:00,511880.XSHG,-900,100.101,90090.9,27.03,0.0,27.03,卖出
2025-01-15 09:30:00,511880.XSHG,900,100.101,90090.9,27.03,0.0,27.03,买入
2025-01-16 09:30:00,511880.XSHG,-900,100.11,90099.0,18.02,90.1,108.12,卖出
2025-01-16 09:30:00,511880.XSHG,900,100.11,90099.0,18.02,0.0,18.02,买入
2025-01-17 09:30:00,511880.XSHG,-900,100.108,90097.2,27.03,0.0,27.03,卖出
2025-01-17 09:30:00,511880.XSHG,900,100.108,90097.2,27.03,0.0,27.03,买入
2025-01-20 09:30:00,511880.XSHG,-900,100.113,90101.7,27.03,0.0,27.03,卖出
2025-01-20 09:30:00,511880.XSHG,900,100.113,90101.7,27.03,0.0,27.03,买入
2025-01-21 09:30:00,511880.XSHG,-900,100.118,90106.2,27.03,0.0,27.03,卖出
2025-01-21 09:30:00,511880.XSHG,900,100.118,90106.2,27.03,0.0,27.03,买入
2025-01-22 09:30:00,511880.XSHG,-900,100.126,90113.40000000001,27.03,0.0,27.03,卖出
2025-01-22 09:30:00,511880.XSHG,900,100.126,90113.40000000001,27.03,0.0,27.03,买入
2025-01-23 09:30:00,511880.XSHG,-900,100.129,90116.1,27.03,0.0,27.03,卖出
2025-01-23 09:30:00,511880.XSHG,900,100.129,90116.1,27.03,0.0,27.03,买入
2025-01-24 09:30:00,511880.XSHG,-900,100.128,90115.2,27.03,0.0,27.03,卖出
2025-01-24 09:30:00,511880.XSHG,900,100.128,90115.2,27.03,0.0,27.03,买入
2025-01-27 09:30:00,511880.XSHG,-900,100.176,90158.40000000001,27.05,0.0,27.05,卖出
2025-01-27 09:30:00,511880.XSHG,900,100.176,90158.40000000001,27.05,0.0,27.05,买入
