date,total_value,cash,positions_value,returns,returns_pct,benchmark_price,benchmark_value,benchmark_returns_pct,excess_returns_pct,daily_returns
2025-02-05 15:00:00,98392.19,7578.190000000006,90814.0,-1607.8099999999977,-1.6078099999999984,3795.0848,100000.0,0.0,-1.6078099999999984,
2025-02-06 15:00:00,98303.19,7578.190000000006,90725.0,-1696.8099999999977,-1.696809999999993,3842.8314,101258.11681467565,1.2581168146756472,-2.9549268146756402,-0.0009045433382466328
2025-02-07 15:00:00,98759.19,7578.190000000006,91181.0,-1240.8099999999977,-1.2408099999999922,3892.7028,102572.22183809963,2.572221838099642,-3.813031838099634,0.004638710096793508
2025-02-10 15:00:00,99272.19,7578.190000000006,91694.0,-727.8099999999977,-0.7278099999999954,3901.0618,102792.48042099085,2.7924804209908505,-3.520290420990846,0.00519445329594137
2025-02-11 15:00:00,100263.19,7578.190000000006,92685.0,263.1900000000023,0.26319000000001314,3883.1352,102320.11679949812,2.3201167994981287,-2.0569267994981155,0.009982654759605802
2025-02-12 15:00:00,100836.19,7578.190000000006,93258.0,836.1900000000023,0.8361899999999922,3919.8617,103287.85538599822,3.2878553859982285,-2.4516653859982362,0.005714958799934555
2025-02-13 15:00:00,101034.19,7578.190000000006,93456.0,1034.1900000000023,1.0341900000000015,3905.1398,102899.93520039394,2.8999352003939327,-1.8657452003939312,0.0019635807342581746
2025-02-14 15:00:00,101893.19,7578.190000000006,94315.0,1893.1900000000023,1.8931900000000113,3939.0085,103792.37112172038,3.7923711217203726,-1.8991811217203614,0.008502072417267748
2025-02-17 15:00:00,100573.19,7578.190000000006,92995.0,573.1900000000023,0.5731900000000012,3947.3983,104013.44128067968,4.013441280679686,-3.4402512806796848,-0.012954742117701867
2025-02-18 15:00:00,100808.19,7578.190000000006,93230.0,808.1900000000023,0.8081900000000086,3912.7829,103101.32990967685,3.101329909676842,-2.2931399096768335,0.002336606803463148
2025-02-19 15:00:00,100111.19,7578.190000000006,92533.0,111.19000000000233,0.11118999999999435,3940.1602,103822.71826969452,3.822718269694514,-3.7115282696945195,-0.006914120767370191
2025-02-20 15:00:00,100074.19,7578.190000000006,92496.0,74.19000000000233,0.0741899999999962,3928.8959,103525.9054026935,3.5259054026935077,-3.4517154026935115,-0.0003695890539309188
2025-02-21 15:00:00,98810.19,7578.190000000006,91232.0,-1189.8099999999977,-1.1898100000000023,3978.444,104831.49151238991,4.831491512389907,-6.021301512389909,-0.0126306293360956
2025-02-24 15:00:00,98312.19,7578.190000000006,90734.0,-1687.8099999999977,-1.6878100000000007,3969.7169,104601.5335414903,4.601533541490288,-6.289343541490289,-0.005039966019699027
2025-02-25 15:00:00,97389.19,7578.190000000006,89811.0,-2610.8099999999977,-2.6108099999999967,3925.6505,103440.38952700082,3.440389527000831,-6.051199527000827,-0.009388459355854084
2025-02-26 15:00:00,97918.19,7578.190000000006,90340.0,-2081.8099999999977,-2.081809999999995,3959.9413,104343.94772944204,4.343947729442044,-6.425757729442038,0.00543181435229112
2025-02-27 15:00:00,98927.19,7578.190000000006,91349.0,-1072.8099999999977,-1.0728100000000018,3968.1159,104559.34739587373,4.559347395873736,-5.6321573958737385,0.010304520539033746
2025-02-28 15:00:00,97756.19,7578.190000000006,90178.0,-2243.8099999999977,-2.2438100000000016,3890.0487,102502.28664192167,2.5022866419216694,-4.746096641921671,-0.01183698839520253
