年份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2024,-1.7708511473035204,0.0,0.6507545317734786,-0.35971966001129285,0.05705179950077355,-0.041690301376495764,0.5807629842367268,0.0,-1.9250674965859527,-8.976995105156549,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
