标的,盈亏(元),名称
300124.XSHE,947.9299999999994,
000333.XSHE,710.7199999999995,
601088.XSHG,556.3399999999975,
601816.XSHG,425.77999999999963,
601899.XSHG,421.58000000000015,
601328.XSHG,248.30000000000035,
000651.XSHE,201.61000000000013,
600900.XSHG,152.4699999999983,
601288.XSHG,105.78999999999712,
002714.XSHE,-75.28000000000173,
600309.XSHG,-247.97999999999885,
000858.XSHE,-275.2,
300274.XSHE,-285.1200000000023,
601318.XSHG,-347.2300000000017,
600276.XSHG,-371.67999999999967,
601166.XSHG,-723.620000000001,
000568.XSHE,-814.6699999999995,
601012.XSHG,-987.1299999999994,
600030.XSHG,-1196.7800000000018,
601601.XSHG,-2149.079999999998,
300059.XSHE,-2621.4500000000003,
300308.XSHE,-2705.900000000001,
002475.XSHE,-3026.6500000000005,
