标的,开仓次数,名称
002475.XSHE,4,
000333.XSHE,3,
002714.XSHE,2,
601328.XSHG,2,
601166.XSHG,2,
600276.XSHG,2,
300059.XSHE,1,
601088.XSHG,1,
601816.XSHG,1,
601601.XSHG,1,
000651.XSHE,1,
601318.XSHG,1,
601288.XSHG,1,
000858.XSHE,1,
601012.XSHG,1,
300124.XSHE,1,
600900.XSHG,1,
600309.XSHG,1,
000568.XSHE,1,
600030.XSHG,1,
300308.XSHE,1,
300274.XSHE,1,
601899.XSHG,1,
