date,total_value,cash,positions_value,returns,returns_pct,benchmark_price,benchmark_value,benchmark_returns_pct,excess_returns_pct,daily_returns
2024-01-02 15:00:00,99407.0,12410.0,86997.0,-593.0,-0.5929999999999991,3386.3522,100000.0,0.0,-0.5929999999999991,
2024-01-03 15:00:00,98504.0,12410.0,86094.0,-1496.0,-1.4959999999999973,3378.2971,99762.1304718393,-0.23786952816070572,-1.2581304718392916,-0.009083867333286366
2024-01-04 15:00:00,98209.0,12410.0,85799.0,-1791.0,-1.7909999999999981,3347.0519,98839.45030880132,-1.1605496911986868,-0.6304503088013114,-0.0029948022415333675
2024-01-05 15:00:00,98033.0,12410.0,85623.0,-1967.0,-1.9669999999999965,3329.1114,98309.6619424288,-1.6903380575712057,-0.27666194242879083,-0.0017920964473724377
2024-01-08 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3286.0564,97038.23482979709,-2.9617651702029124,0.6084151702029028,-0.003941019860659201
2024-01-09 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3292.4994,97228.49855960051,-2.771501440399482,0.4181514403994724,0.0
2024-01-10 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3277.129,96774.60602001175,-3.2253939799882447,0.8720439799882351,0.0
2024-01-11 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3295.6717,97322.17753368951,-2.6778224663104866,0.324472466310477,0.0
2024-01-12 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3284.1667,96982.43141986236,-3.0175685801376417,0.6642185801376321,0.0
2024-01-15 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3280.9195,96886.54062622311,-3.1134593737768834,0.7601093737768738,0.0
2024-01-16 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3300.8762,97475.86798561591,-2.524132014384084,0.17078201438407437,0.0
2024-01-17 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3229.082,95355.76364443132,-4.644236355568676,2.2908863555686665,0.0
2024-01-18 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3274.7286,96703.72148531981,-3.2962785146801954,0.9429285146801858,0.0
2024-01-19 15:00:00,97646.65,97646.65,0.0,-2353.350000000006,-2.3533500000000096,3269.7763,96557.47857532362,-3.4425214246763813,1.0891714246763717,0.0
