指标,值,格式化值
策略收益,-12.06,-12.06%
策略年化收益,-6.41,-6.41%
基准收益,36.72,36.72%
基准年化收益,17.5,17.50%
累计超额收益,-48.78,-48.78%
策略波动率,4.84,4.84%
最大回撤,-11.53,-11.53%
最大回撤区间,2024-01-02 至 2024-10-14,2024-01-02 至 2024-10-14
最大回撤持续天数,484,484.00%
夏普比率,-2.1521,-2.15
索提诺比率,-2.3536,-2.35
Calmar比率,-0.5557,-0.56
下行波动率,4.42,4.42%
日胜率,2.69,2.69%
日盈利天数,13,13
日亏损天数,30,30
交易胜率,43.75,43.75%
交易盈利次数,14,14
交易亏损次数,18,18
盈亏比,0.2624,0.26
交易天数,485,485
胜率,43.75,43.75%
收益回撤比,-0.5557,-0.56%
