标的,盈亏(元),名称
603019.XSHG,-5.0,中科曙光
000938.XSHE,-5.0,紫光股份
300308.XSHE,-5.0,中际旭创
601138.XSHG,-5.0,工业富联
002180.XSHE,-5.0,奔图科技
