指标,值,格式化值
策略收益,0.4,0.40%
策略年化收益,1.73,1.73%
基准收益,4.46,4.46%
基准年化收益,20.71,20.71%
累计超额收益,-4.06,-4.06%
策略波动率,0.25,0.25%
最大回撤,-0.04,-0.04%
最大回撤区间,2024-02-08 至 2024-02-19,2024-02-08 至 2024-02-19
最大回撤持续天数,9,9.00%
夏普比率,-9.1444,-9.14
索提诺比率,-16.9507,-16.95
Calmar比率,41.0853,41.09
下行波动率,0.13,0.13%
日胜率,75.44,75.44%
日盈利天数,43,43
日亏损天数,12,12
交易胜率,0.0,0.00%
交易盈利次数,0,0
交易亏损次数,0,0
盈亏比,0.0,0.00
交易天数,58,58
胜率,0.0,0.00%
收益回撤比,41.0853,41.09%
