date,total_value,cash,positions_value,returns,returns_pct,daily_returns
2025-01-02 15:00:00,100000.0,100000.0,0.0,0.0,0.0,
2025-01-03 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-06 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-07 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-08 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-09 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-10 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-13 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-14 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-15 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-16 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-17 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-20 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-21 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-22 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-23 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-24 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-01-27 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-05 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-06 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-07 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-10 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-11 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-12 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-13 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-14 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-17 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-18 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-19 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-20 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-21 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-24 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-25 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-26 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-27 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2025-02-28 15:00:00,100000.0,100000.0,0.0,0.0,0.0,0.0
