date,total_value,cash,positions_value,returns,returns_pct,benchmark_price,benchmark_value,benchmark_returns_pct,excess_returns_pct,daily_returns
2024-01-02 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3386.3522,100000.0,0.0,0.0,
2024-01-03 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3378.2971,99762.1304718393,-0.23786952816070572,0.23786952816070572,0.0
2024-01-04 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3347.0519,98839.45030880132,-1.1605496911986868,1.1605496911986868,0.0
2024-01-05 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3329.1114,98309.6619424288,-1.6903380575712057,1.6903380575712057,0.0
2024-01-08 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3286.0564,97038.23482979709,-2.9617651702029124,2.9617651702029124,0.0
2024-01-09 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3292.4994,97228.49855960051,-2.771501440399482,2.771501440399482,0.0
2024-01-10 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3277.129,96774.60602001175,-3.2253939799882447,3.2253939799882447,0.0
2024-01-11 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3295.6717,97322.17753368951,-2.6778224663104866,2.6778224663104866,0.0
2024-01-12 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3284.1667,96982.43141986236,-3.0175685801376417,3.0175685801376417,0.0
2024-01-15 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3280.9195,96886.54062622311,-3.1134593737768834,3.1134593737768834,0.0
2024-01-16 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3300.8762,97475.86798561591,-2.524132014384084,2.524132014384084,0.0
2024-01-17 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3229.082,95355.76364443132,-4.644236355568676,4.644236355568676,0.0
2024-01-18 15:00:00,100000.0,100000.0,0.0,0.0,0.0,3274.7286,96703.72148531981,-3.2962785146801954,3.2962785146801954,0.0
