指标,值,格式化值
策略收益,-21.55,-21.55%
策略年化收益,-11.76,-11.76%
基准收益,36.72,36.72%
基准年化收益,17.5,17.50%
累计超额收益,-58.27,-58.27%
策略波动率,0.21,0.21%
最大回撤,-21.54,-21.54%
最大回撤区间,2024-01-02 至 2025-12-31,2024-01-02 至 2025-12-31
最大回撤持续天数,484,484.00%
夏普比率,-74.9713,-74.97
索提诺比率,-109.7191,-109.72
Calmar比率,-0.5459,-0.55
下行波动率,0.14,0.14%
日胜率,0.83,0.83%
日盈利天数,4,4
日亏损天数,480,480
交易胜率,2.27,2.27%
交易盈利次数,11,11
交易亏损次数,473,473
盈亏比,0.026,0.03
交易天数,485,485
胜率,2.27,2.27%
收益回撤比,-0.5459,-0.55%
