指标,值,格式化值
策略收益,-0.33,-0.33%
策略年化收益,-4.51,-4.51%
基准收益,2.5,2.50%
基准年化收益,40.95,40.95%
累计超额收益,-2.83,-2.83%
策略波动率,2.68,2.68%
最大回撤,-0.87,-0.87%
最大回撤区间,2025-02-14 至 2025-02-25,2025-02-14 至 2025-02-25
最大回撤持续天数,10,10.00%
夏普比率,-3.1715,-3.17
索提诺比率,-3.8439,-3.84
Calmar比率,-5.1732,-5.17
下行波动率,2.21,2.21%
日胜率,47.06,47.06%
日盈利天数,8,8
日亏损天数,9,9
交易胜率,0.0,0.00%
交易盈利次数,0,0
交易亏损次数,0,0
盈亏比,0.0,0.00
交易天数,18,18
胜率,0.0,0.00%
收益回撤比,-5.1732,-5.17%
