指标,值,格式化值
策略收益,-1.11,-1.11%
策略年化收益,-60.48,-60.48%
基准收益,2.57,2.57%
基准年化收益,730.13,730.13%
累计超额收益,-3.68,-3.68%
策略波动率,5.65,5.65%
最大回撤,-0.07,-0.07%
最大回撤区间,2025-02-05 至 2025-02-06,2025-02-05 至 2025-02-06
最大回撤持续天数,1,1.00%
夏普比率,-11.4054,-11.41
索提诺比率,0.0,0.00
Calmar比率,-816.463,-816.46
下行波动率,0.0,0.00%
日胜率,50.0,50.00%
日盈利天数,1,1
日亏损天数,1,1
交易胜率,0.0,0.00%
交易盈利次数,0,0
交易亏损次数,0,0
盈亏比,0.0,0.00
交易天数,3,3
胜率,0.0,0.00%
收益回撤比,-816.463,-816.46%
