指标,值,格式化值
策略收益,-4.05,-4.05%
策略年化收益,-16.32,-16.32%
基准收益,4.46,4.46%
基准年化收益,20.71,20.71%
累计超额收益,-8.51,-8.51%
策略波动率,13.21,13.21%
最大回撤,-8.13,-8.13%
最大回撤区间,2024-03-18 至 2024-03-27,2024-03-18 至 2024-03-27
最大回撤持续天数,9,9.00%
夏普比率,-1.539,-1.54
索提诺比率,-2.0536,-2.05
Calmar比率,-2.0066,-2.01
下行波动率,9.9,9.90%
日胜率,68.42,68.42%
日盈利天数,39,39
日亏损天数,15,15
交易胜率,33.33,33.33%
交易盈利次数,1,1
交易亏损次数,2,2
盈亏比,0.0749,0.07
交易天数,58,58
胜率,33.33,33.33%
收益回撤比,-2.0066,-2.01%
