时间,标的,数量,价格,金额,手续费,印花税,总费用,方向
2024-01-02 09:30:00,511880.XSHG,900,100.094,90084.59999999999,27.03,0.0,27.03,买入
2024-03-18 09:30:00,159819.XSHE,12400,0.779,9659.6,5.0,0.0,5.0,买入
2024-03-18 09:30:00,159949.XSHE,200,0.81,162.0,5.0,0.0,5.0,买入
2024-03-18 09:30:00,511880.XSHG,-900,100.483,90434.7,27.13,0.0,27.13,卖出
2024-03-25 09:30:00,159949.XSHE,-200,0.788,157.6,5.0,0.0,5.0,卖出
2024-03-25 09:30:00,159819.XSHE,113600,0.78,88608.0,26.58,0.0,26.58,买入
2024-03-28 15:00:00,159819.XSHE,-126000,0.746,93996.0,28.2,0.0,28.2,卖出
