指标,值,格式化值
策略收益,-2.12,-2.12%
策略年化收益,-25.75,-25.75%
基准收益,2.5,2.50%
基准年化收益,40.95,40.95%
累计超额收益,-4.62,-4.62%
策略波动率,12.64,12.64%
最大回撤,-4.41,-4.41%
最大回撤区间,2025-02-14 至 2025-02-25,2025-02-14 至 2025-02-25
最大回撤持续天数,10,10.00%
夏普比率,-2.3529,-2.35
索提诺比率,-2.8672,-2.87
Calmar比率,-5.8327,-5.83
下行波动率,10.38,10.38%
日胜率,52.94,52.94%
日盈利天数,9,9
日亏损天数,8,8
交易胜率,0.0,0.00%
交易盈利次数,0,0
交易亏损次数,0,0
盈亏比,0.0,0.00
交易天数,18,18
胜率,0.0,0.00%
收益回撤比,-5.8327,-5.83%
