指标,值,格式化值
策略收益,-0.93,-0.93%
策略年化收益,-37.29,-37.29%
基准收益,0.11,0.11%
基准年化收益,5.87,5.87%
累计超额收益,-1.04,-1.04%
策略波动率,17.05,17.05%
最大回撤,-2.12,-2.12%
最大回撤区间,2024-03-05 至 2024-03-07,2024-03-05 至 2024-03-07
最大回撤持续天数,3,3.00%
夏普比率,-2.4213,-2.42
索提诺比率,-5.0707,-5.07
Calmar比率,-17.6139,-17.61
下行波动率,8.14,8.14%
日胜率,50.0,50.00%
日盈利天数,2,2
日亏损天数,2,2
交易胜率,0.0,0.00%
交易盈利次数,0,0
交易亏损次数,0,0
盈亏比,0.0,0.00
交易天数,5,5
胜率,0.0,0.00%
收益回撤比,-17.6139,-17.61%
