date,code,amount,closeable_amount,avg_cost,acc_avg_cost,price,value,floating_pnl,floating_pnl_pct,cash,positions_value,total_value,daily_positions_value,daily_total_market_value,daily_floating_pnl
2024-03-04 15:00:00,510300.XSHG,15200,15200,3.526,3.526,3.527,53610.4,15.200000000005076,0.028360748723765816,2549.970000000001,97324.20000000001,99874.17000000001,97324.20000000001,99874.17000000001,-96.59999999998881
2024-03-04 15:00:00,159819.XSHE,55900,55900,0.7839999999999999,0.7839999999999999,0.782,43713.8,-111.79999999999389,-0.25510204081631294,2549.970000000001,97324.20000000001,99874.17000000001,97324.20000000001,99874.17000000001,-96.59999999998881
2024-03-05 15:00:00,510300.XSHG,15200,15200,3.526,3.526,3.556,54051.200000000004,456.00000000000375,0.8508224617129967,2549.970000000001,97709.1,100259.07,97709.1,100259.07,288.30000000000985
2024-03-05 15:00:00,159819.XSHE,55900,55900,0.7839999999999999,0.7839999999999999,0.781,43657.9,-167.69999999999393,-0.3826530612244805,2549.970000000001,97709.1,100259.07,97709.1,100259.07,288.30000000000985
2024-03-06 15:00:00,510300.XSHG,15200,15200,3.526,3.526,3.542,53838.399999999994,243.20000000000022,0.45377197958025306,2549.970000000001,97049.1,99599.07,97049.1,99599.07,-371.6999999999941
2024-03-06 15:00:00,159819.XSHE,55900,55900,0.7839999999999999,0.7839999999999999,0.773,43210.700000000004,-614.8999999999943,-1.4030612244897878,2549.970000000001,97049.1,99599.07,97049.1,99599.07,-371.6999999999941
2024-03-07 15:00:00,510300.XSHG,15200,15200,3.526,3.526,3.523,53549.6,-45.59999999999498,-0.08508224617128635,2549.970000000001,95586.4,98136.37,95586.4,98136.37,-1834.3999999999903
2024-03-07 15:00:00,159819.XSHE,55900,55900,0.7839999999999999,0.7839999999999999,0.752,42036.8,-1788.7999999999954,-4.081632653061218,2549.970000000001,95586.4,98136.37,95586.4,98136.37,-1834.3999999999903
2024-03-08 15:00:00,510300.XSHG,15200,15200,3.526,3.526,3.533,53701.6,106.40000000000178,0.1985252410663607,2549.970000000001,96521.0,99070.97,96521.0,99070.97,-899.7999999999929
2024-03-08 15:00:00,159819.XSHE,55900,55900,0.7839999999999999,0.7839999999999999,0.766,42819.4,-1006.1999999999947,-2.2959183673469274,2549.970000000001,96521.0,99070.97,96521.0,99070.97,-899.7999999999929
