指标,值,格式化值
策略收益,-2.28,-2.28%
策略年化收益,-68.43,-68.43%
基准收益,0.11,0.11%
基准年化收益,5.87,5.87%
累计超额收益,-2.39,-2.39%
策略波动率,29.54,29.54%
最大回撤,-3.76,-3.76%
最大回撤区间,2024-03-04 至 2024-03-07,2024-03-04 至 2024-03-07
最大回撤持续天数,4,4.00%
夏普比率,-2.4522,-2.45
索提诺比率,-6.2499,-6.25
Calmar比率,-18.1964,-18.20
下行波动率,11.59,11.59%
日胜率,25.0,25.00%
日盈利天数,1,1
日亏损天数,3,3
交易胜率,0.0,0.00%
交易盈利次数,0,0
交易亏损次数,0,0
盈亏比,0.0,0.00
交易天数,5,5
胜率,0.0,0.00%
收益回撤比,-18.1964,-18.20%
