指标,值,格式化值
策略收益,37.48,37.48%
策略年化收益,17.83,17.83%
基准收益,36.72,36.72%
基准年化收益,17.5,17.50%
累计超额收益,0.75,0.75%
策略波动率,26.93,26.93%
最大回撤,-20.81,-20.81%
最大回撤区间,2024-03-11 至 2024-08-27,2024-03-11 至 2024-08-27
最大回撤持续天数,212,212.00%
夏普比率,0.5135,0.51
索提诺比率,0.8442,0.84
Calmar比率,0.8567,0.86
下行波动率,16.38,16.38%
日胜率,50.41,50.41%
日盈利天数,244,244
日亏损天数,240,240
交易胜率,47.06,47.06%
交易盈利次数,32,32
交易亏损次数,36,36
盈亏比,1.5604,1.56
交易天数,485,485
胜率,47.06,47.06%
收益回撤比,0.8567,0.86%
