event_type,strategy_time,code,event_date,per_base,bonus_pre_tax,net_bonus,tax_rate_percent,cash_in,scale_factor,old_amount,new_amount,cash_before,cash_after,positions_value_before,positions_value_after,total_value_before,total_value_after
现金分红,2024-06-13 09:00:00,002938.XSHE,2024-06-13,10,5.0,4.0,20,200.0,,,,7336.129999999976,7536.129999999976,83418.0,83418.0,90754.12999999998,90954.12999999998
现金分红,2024-06-20 09:00:00,601919.XSHG,2024-06-20,10,2.3000000000000003,1.8400000000000003,20,202.4,,,,7536.129999999976,7738.529999999975,85737.0,85737.0,93273.12999999998,93475.52999999997
现金分红,2024-07-11 09:00:00,002475.XSHE,2024-07-11,10,2.989461,2.3915688,20,95.66,,,,13816.199999999983,13911.859999999982,81379.0,81379.0,95195.19999999998,95290.85999999999
现金分红,2025-05-15 09:00:00,000651.XSHE,2025-05-15,10,10.0,8.0,20,480.0,,,,5077.3500000000095,5557.3500000000095,89309.0,89309.0,94386.35,94866.35
现金分红,2025-06-06 09:00:00,600887.XSHG,2025-06-06,10,12.2,9.76,20,585.6,,,,25897.339999999997,26482.939999999995,71186.0,71186.0,97083.34,97668.94
现金分红,2025-06-12 09:00:00,000333.XSHE,2025-06-12,10,35.0,28.0,20,560.0,,,,26482.939999999995,27042.939999999995,70832.0,70832.0,97314.94,97874.94
现金分红,2025-06-20 09:00:00,601166.XSHG,2025-06-20,10,10.600000000000001,8.480000000000002,20,593.6,,,,27042.939999999995,27636.539999999994,68184.0,68184.0,95226.94,95820.54
现金分红,2025-09-30 09:00:00,601899.XSHG,2025-09-30,10,2.2,1.7600000000000002,20,193.6,,,,50126.009999999995,50319.60999999999,95297.0,95297.0,145423.01,145616.61
现金分红,2025-12-15 09:00:00,601398.XSHG,2025-12-15,10,1.414,1.1312,20,384.61,,,,36151.8,36536.41,100718.0,100718.0,136869.8,137254.41
