标的,开仓次数,名称
002475.XSHE,4,
601166.XSHG,3,
000333.XSHE,2,
600900.XSHG,2,
000651.XSHE,2,
000858.XSHE,2,
601816.XSHG,1,
601398.XSHG,1,
601328.XSHG,1,
601318.XSHG,1,
601088.XSHG,1,
601012.XSHG,1,
600919.XSHG,1,
600030.XSHG,1,
600309.XSHG,1,
000568.XSHE,1,
300750.XSHE,1,
300308.XSHE,1,
300274.XSHE,1,
300124.XSHE,1,
300059.XSHE,1,
002714.XSHE,1,
002415.XSHE,1,
601899.XSHG,1,
