date,code,amount,closeable_amount,avg_cost,acc_avg_cost,price,value,floating_pnl,floating_pnl_pct,cash,positions_value,total_value,daily_positions_value,daily_total_market_value,daily_floating_pnl
2024-01-02 15:00:00,601166.XSHG,1300,0,14.92,14.92,14.83,19279.0,-116.99999999999982,-0.6032171581769386,12410.0,86997.0,99407.0,86997.0,99407.0,-568.0000000000003
2024-01-02 15:00:00,002475.XSHE,500,0,34.44,34.44,33.98,16990.0,-230.00000000000043,-1.3356562137049943,12410.0,86997.0,99407.0,86997.0,99407.0,-568.0000000000003
2024-01-02 15:00:00,601012.XSHG,800,0,22.61,22.61,22.2,17760.0,-328.0000000000001,-1.8133569217160583,12410.0,86997.0,99407.0,86997.0,99407.0,-568.0000000000003
2024-01-02 15:00:00,000333.XSHE,300,0,54.63,54.63,54.56,16368.0,-21.000000000000085,-0.12813472451034258,12410.0,86997.0,99407.0,86997.0,99407.0,-568.0000000000003
2024-01-02 15:00:00,002714.XSHE,400,0,41.18,41.18,41.5,16600.0,128.0000000000001,0.7770762506071005,12410.0,86997.0,99407.0,86997.0,99407.0,-568.0000000000003
2024-01-03 15:00:00,601166.XSHG,1300,1300,14.92,14.92,14.68,19084.0,-312.0000000000003,-1.608579088471851,12410.0,86094.0,98504.0,86094.0,98504.0,-1470.999999999997
2024-01-03 15:00:00,002475.XSHE,500,500,34.44,34.44,32.67,16335.0,-884.999999999998,-5.139372822299637,12410.0,86094.0,98504.0,86094.0,98504.0,-1470.999999999997
2024-01-03 15:00:00,601012.XSHG,800,800,22.61,22.61,22.39,17912.0,-175.9999999999991,-0.9730207872622687,12410.0,86094.0,98504.0,86094.0,98504.0,-1470.999999999997
2024-01-03 15:00:00,000333.XSHE,300,300,54.63,54.63,54.45,16335.0,-53.999999999999915,-0.32948929159801743,12410.0,86094.0,98504.0,86094.0,98504.0,-1470.999999999997
2024-01-03 15:00:00,002714.XSHE,400,400,41.18,41.18,41.07,16428.0,-43.99999999999977,-0.2671199611461894,12410.0,86094.0,98504.0,86094.0,98504.0,-1470.999999999997
2024-01-04 15:00:00,601166.XSHG,1300,1300,14.92,14.92,14.62,19006.0,-390.0000000000009,-2.0107238605898137,12410.0,85799.0,98209.0,85799.0,98209.0,-1765.9999999999993
2024-01-04 15:00:00,002475.XSHE,500,500,34.44,34.44,32.5,16250.0,-969.9999999999989,-5.632984901277583,12410.0,85799.0,98209.0,85799.0,98209.0,-1765.9999999999993
2024-01-04 15:00:00,601012.XSHG,800,800,22.61,22.61,21.98,17584.0,-503.9999999999992,-2.786377708978327,12410.0,85799.0,98209.0,85799.0,98209.0,-1765.9999999999993
2024-01-04 15:00:00,000333.XSHE,300,300,54.63,54.63,55.25,16575.0,185.99999999999923,1.134907559948739,12410.0,85799.0,98209.0,85799.0,98209.0,-1765.9999999999993
2024-01-04 15:00:00,002714.XSHE,400,400,41.18,41.18,40.96,16384.0,-87.99999999999955,-0.5342399222923677,12410.0,85799.0,98209.0,85799.0,98209.0,-1765.9999999999993
2024-01-05 15:00:00,601166.XSHG,1300,1300,14.92,14.92,14.81,19253.0,-142.99999999999926,-0.7372654155495928,12410.0,85623.0,98033.0,85623.0,98033.0,-1942.0000000000002
2024-01-05 15:00:00,002475.XSHE,500,500,34.44,34.44,32.5,16250.0,-969.9999999999989,-5.632984901277583,12410.0,85623.0,98033.0,85623.0,98033.0,-1942.0000000000002
2024-01-05 15:00:00,601012.XSHG,800,800,22.61,22.61,21.58,17264.0,-824.0000000000009,-4.555506413091559,12410.0,85623.0,98033.0,85623.0,98033.0,-1942.0000000000002
