指标,值,格式化值
策略收益,-11.76,-11.76%
策略年化收益,-6.25,-6.25%
基准收益,36.72,36.72%
基准年化收益,17.5,17.50%
累计超额收益,-48.48,-48.48%
策略波动率,5.08,5.08%
最大回撤,-12.44,-12.44%
最大回撤区间,2024-07-04 至 2024-10-14,2024-07-04 至 2024-10-14
最大回撤持续天数,364,364.00%
夏普比率,-2.0179,-2.02
索提诺比率,-2.2293,-2.23
Calmar比率,-0.5021,-0.50
下行波动率,4.6,4.60%
日胜率,3.31,3.31%
日盈利天数,16,16
日亏损天数,27,27
交易胜率,45.45,45.45%
交易盈利次数,15,15
交易亏损次数,18,18
盈亏比,0.3195,0.32
交易天数,485,485
胜率,45.45,45.45%
收益回撤比,-0.5021,-0.50%
