年份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2024,-1.7708511473035204,0.0,-0.4836008198949915,0.4284974967180277,0.31856479943503935,0.681755201211498,0.9953113123820856,0.0,-1.9951536023573246,-9.558059551648368,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
