指标,值,格式化值
策略收益,0.77,0.77%
策略年化收益,46.89,46.89%
基准收益,0.11,0.11%
基准年化收益,5.87,5.87%
累计超额收益,0.66,0.66%
策略波动率,12.14,12.14%
最大回撤,-0.66,-0.66%
最大回撤区间,2024-03-05 至 2024-03-06,2024-03-05 至 2024-03-06
最大回撤持续天数,1,1.00%
夏普比率,3.5339,3.53
索提诺比率,6.2398,6.24
Calmar比率,71.5803,71.58
下行波动率,6.87,6.87%
日胜率,50.0,50.00%
日盈利天数,2,2
日亏损天数,2,2
交易胜率,0.0,0.00%
交易盈利次数,0,0
交易亏损次数,0,0
盈亏比,0.0,0.00
交易天数,5,5
胜率,0.0,0.00%
收益回撤比,71.5803,71.58%
